"name","noc","discipline","event"
"WALL Michael","United States of America","Volleyball",""
"WALSH Tim","Australia","Rugby Sevens","Men"
"WANG Jie","People's Republic of China","Artistic Swimming","Duet"
"WANG Jie","People's Republic of China","Artistic Swimming","Team"
"WANG Yang","People's Republic of China","Hockey","Women"
"WEINSTEIN Jerry","United States of America","Baseball/Softball","Baseball"
"WIEGMAN Sarina","Netherlands","Football","Women"
"WOICKI Pawel","Poland","Volleyball",""
"WRIGHT Jerold","United States of America","Basketball",""
"XU Limin","People's Republic of China","Basketball","Women"
"YAMAJI Noriko","Japan","Baseball/Softball","Softball"
"YUAN Lingxi","People's Republic of China","Volleyball",""
"YURKIN Sergey","ROC","Volleyball",""
"ZAITSEVA Olesia","Ukraine","Artistic Swimming","Duet"
"ZAMORA PEDREIRA Javier","Spain","Basketball",""
"ZHANG Xiaohuan","People's Republic of China","Artistic Swimming",""
"ZIJP Simon","Netherlands","Hockey",""
